model_name,repetition_penalty,generation_time,evaluation_time,total_tokens,total_words,tokens_per_second,total_tokens_over_total_words,numeric_bleu,numeric_rougeL,description_bleu,description_rougeL,entity_bleu,entity_rougeL,person_bleu,person_rougeL,location_bleu,location_rougeL,overall_bleu,overall_rougeL,total_words_over_total_tokens
Llama-2-7b-chat-hf,1.190,1280.314,1.793,34349,23987,26.829,1.432,0.1274,0.2383,0.1836,0.2621,0.1572,0.2754,0.1700,0.2911,0.3631,0.5383,0.1781,0.3209,0.698
Llama-2-7b-chat-hf,1.195,1297.079,1.749,34917,24452,26.920,1.428,0.1235,0.2277,0.1875,0.2638,0.1539,0.2799,0.1676,0.2873,0.3525,0.5312,0.1761,0.3185,0.700
Llama-2-7b-chat-hf,1.200,1213.855,1.751,32654,24259,26.901,1.346,0.1218,0.2254,0.1861,0.2590,0.1590,0.2777,0.1676,0.2743,0.3527,0.5348,0.1763,0.3145,0.743
Llama-2-7b-chat-hf,1.205,1280.410,1.734,34453,24201,26.908,1.424,0.1235,0.2291,0.1840,0.2557,0.1552,0.2701,0.1641,0.2728,0.3444,0.5325,0.1744,0.3136,0.702
Llama-2-7b-chat-hf,1.210,1317.139,1.756,35479,24838,26.936,1.428,0.1297,0.2376,0.1796,0.2502,0.1448,0.2651,0.1460,0.2690,0.3465,0.5286,0.1687,0.3104,0.700
Llama-2-7b-chat-hf,1.215,1263.681,1.753,33993,24001,26.900,1.416,0.1332,0.2331,0.1788,0.2475,0.1427,0.2594,0.1541,0.2627,0.3508,0.5265,0.1714,0.3057,0.706
Llama-2-7b-chat-hf,1.220,1238.706,1.760,33290,24810,26.875,1.342,0.1317,0.2406,0.1789,0.2522,0.1418,0.2476,0.1500,0.2616,0.3310,0.5227,0.1684,0.3054,0.745
Llama-2-7b-chat-hf,1.225,1277.372,1.757,34515,25745,27.020,1.341,0.1234,0.2387,0.1742,0.2449,0.1373,0.2519,0.1456,0.2563,0.3304,0.5196,0.1626,0.3027,0.746
Llama-2-7b-chat-hf,1.230,1279.953,1.795,34489,25615,26.946,1.346,0.1226,0.2319,0.1695,0.2434,0.1347,0.2539,0.1398,0.2519,0.3343,0.5158,0.1598,0.2995,0.743
Llama-2-7b-chat-hf,1.235,1286.521,1.773,34699,25871,26.971,1.341,0.1240,0.2340,0.1589,0.2294,0.1391,0.2420,0.1383,0.2543,0.3200,0.5078,0.1576,0.2941,0.746
Llama-2-7b-chat-hf,1.240,1285.347,1.758,34676,25899,26.978,1.339,0.1272,0.2328,0.1615,0.2307,0.1334,0.2314,0.1391,0.2450,0.3150,0.5067,0.1577,0.2894,0.747
Llama-2-7b-chat-hf,1.245,1295.737,1.741,34983,26065,26.999,1.342,0.1286,0.2294,0.1514,0.2191,0.1266,0.2239,0.1347,0.2446,0.3212,0.5037,0.1534,0.2841,0.745
Llama-2-7b-chat-hf,1.250,1476.843,1.794,37798,27156,25.594,1.392,0.1268,0.2268,0.1542,0.2135,0.1125,0.2205,0.1202,0.2406,0.3245,0.5028,0.1457,0.2809,0.718
Llama-2-7b-chat-hf,1.255,1363.127,1.809,35509,25812,26.050,1.376,0.1229,0.2191,0.1456,0.2114,0.1165,0.2277,0.1436,0.2463,0.3222,0.4943,0.1504,0.2805,0.727
Llama-2-7b-chat-hf,1.260,1369.096,1.760,35690,26624,26.068,1.341,0.1240,0.2216,0.1468,0.2057,0.0988,0.2129,0.1411,0.2400,0.3154,0.4884,0.1442,0.2741,0.746
Llama-2-7b-chat-hf,1.265,1472.714,1.833,37716,27523,25.610,1.370,0.1228,0.2257,0.1159,0.1967,0.1050,0.2011,0.1380,0.2362,0.3058,0.4842,0.1371,0.2695,0.730
Llama-2-7b-chat-hf,1.270,1477.675,1.775,38285,27888,25.909,1.373,0.1134,0.2181,0.1164,0.1919,0.1059,0.2063,0.1351,0.2346,0.2991,0.4810,0.1347,0.2662,0.728
Llama-2-7b-chat-hf,1.275,1473.710,1.820,38088,28529,25.845,1.335,0.1140,0.2140,0.1120,0.1899,0.0934,0.2037,0.1346,0.2361,0.2967,0.4794,0.1298,0.2645,0.749
Llama-2-7b-chat-hf,1.280,1400.104,1.779,37209,27783,26.576,1.339,0.1109,0.2132,0.1070,0.1871,0.1110,0.1987,0.1378,0.2355,0.2876,0.4707,0.1326,0.2621,0.747
Llama-2-7b-chat-hf,1.285,1487.657,1.836,38448,28448,25.845,1.352,0.1076,0.1982,0.0977,0.1807,0.1175,0.2059,0.1298,0.2302,0.2856,0.4679,0.1284,0.2575,0.740
Llama-2-7b-chat-hf,1.290,1398.927,1.825,37006,27318,26.453,1.355,0.1092,0.2002,0.1102,0.1860,0.1132,0.2052,0.1339,0.2281,0.2891,0.4697,0.1332,0.2574,0.738
Llama-2-7b-chat-hf,1.295,1658.416,1.863,41296,29927,24.901,1.380,0.1061,0.2024,0.1023,0.1769,0.0994,0.2030,0.1065,0.2249,0.2896,0.4633,0.1202,0.2548,0.725
Llama-2-7b-chat-hf,1.300,1736.842,1.828,42428,30255,24.428,1.402,0.1047,0.1920,0.0818,0.1750,0.0987,0.1967,0.1294,0.2290,0.2829,0.4560,0.1166,0.2503,0.713
